127936	4254.3	920.579	381.798	208.075	131.951	91.7232	67.1383	51.4781	40.893	
135867	3714.25	812.941	340.937	189.005	120.464	84.3954	62.2852	47.8122	38.2026	
143491	3237.52	718.647	306.757	172.162	111.127	77.7067	57.3622	44.2941	35.4871	
150437	2825.94	637.357	277.225	157.064	102.106	72.1149	53.2957	41.3962	33.1296	
156666	2468.97	569.269	252.199	143.9	94.1022	67.021	50.1944	38.6443	31.0755	
161771	2165.19	510.853	230.298	132.773	87.3538	62.1423	46.6937	36.1348	29.119	
165635	1901.86	460.549	210.077	123.141	81.4452	58.3503	43.773	33.9444	27.3564	
168025	1675.58	418.283	193.007	114.08	76.0582	54.5656	41.0607	31.9182	25.7185	
168817	1478.79	380.806	178.908	105.553	70.8568	50.7117	38.685	30.327	24.3606	
167855	1314.37	346.317	165.207	99.1505	66.3869	48.0844	36.4259	28.2749	23.0206	
165128	1173.65	317.688	153.429	92.4277	62.351	44.8976	34.3817	26.9201	21.7738	
160792	1055.28	292.127	142.704	86.3466	58.7465	42.3295	32.347	25.4162	20.5474	
154695	947.33	269.221	133.208	81.0909	55.1115	40.0039	30.5456	23.8655	19.4577	
147346	858.72	250.701	124.629	76.2939	51.936	37.6735	29.0009	22.8025	18.4595	
138745	780.442	232.908	117.6	71.9223	49.0955	35.7916	27.4088	21.5284	17.4861	
129283	714.738	216.925	109.676	67.6278	46.6052	33.8618	25.6956	20.3856	16.4084	
119182	653.877	202.736	102.926	63.8495	43.922	32.2492	24.3511	19.4198	15.7108	
108836	600.891	189.901	97.7419	60.3983	41.4904	30.4605	23.2848	18.3336	14.913	
98480.5	555.292	178.14	91.6273	57.4737	39.3442	28.8021	21.8862	17.528	14.1672	
88408.1	516.188	167.398	86.8097	54.4477	37.3323	27.4114	20.7654	16.4445	13.4528	
78799.4	476.838	158.101	81.8202	51.2885	35.5217	25.9208	19.6919	15.6901	12.7452	
69784.5	447.864	148.32	77.271	48.6911	33.3908	24.568	18.6941	14.7648	12.108	
61499.5	416.322	140.683	73.5133	46.1183	31.7313	23.4261	17.7439	14.2171	11.4877	
53978.6	390.973	132.745	69.6353	43.8895	30.1474	22.1573	16.8669	13.5057	10.8558	
47251.9	366.232	125.622	66.3831	41.7034	28.7615	21.1474	16.0636	12.6579	10.2805	
41308.4	344.359	118.796	62.6615	39.4558	27.3115	20.0186	15.268	12.0393	9.7874	
36061.5	323.538	112.694	59.5764	37.3594	25.8575	19.0186	14.4913	11.5802	9.30359	
31541.1	305.265	106.66	56.4748	35.386	24.5483	17.9711	13.791	11.0485	8.87752	
27598.7	289.165	101.152	53.5491	33.6834	23.342	17.2558	13.1084	10.4699	8.40281	
24211.5	272.693	96.2799	50.9622	32.1043	22.2406	16.3706	12.4545	9.9605	8.10756	
21278.9	257.34	91.1047	48.4024	30.5695	21.056	15.3514	11.8357	9.46136	7.60654	
18788.8	244.155	86.4419	46.1803	29.0657	19.9426	14.6325	11.2607	8.99152	7.23612	
16645.5	230.837	82.1888	43.6776	27.6547	18.9877	13.8808	10.7034	8.5074	6.8875	
14816.2	218.146	78.3363	41.8031	26.2907	18.1114	13.2222	10.1837	8.05371	6.52016	
13246.9	207.597	74.4186	39.6095	24.9572	17.2075	12.7536	9.68518	7.66357	6.2371	
11886.9	196.439	70.8624	37.6434	23.697	16.3304	11.9843	9.29657	7.28902	5.9753	
10743.4	187.308	66.9447	35.8888	22.553	15.4977	11.3909	8.75144	6.93354	5.68959	
9738.6	177.524	63.8846	34.0045	21.4378	14.8311	10.7923	8.391	6.6389	5.40536	
8867.9	168.735	60.604	32.4624	20.4537	13.9946	10.2749	7.92838	6.26884	5.13375	
8097.33	159.99	57.6737	30.7898	19.3288	13.3898	9.77474	7.54749	5.97158	4.89204	
7445.81	151.864	54.9172	29.1202	18.3707	12.7964	9.39894	7.16999	5.68118	4.63364	
