18.8872	12.2554	4.09556
18.7171	12.1265	4.03976
18.7035	11.975	3.97804
18.4053	11.8807	3.91656
18.229	11.7446	3.88899
18.0317	11.6271	3.81244
17.8503	11.5362	3.76271
17.6723	11.4042	3.71298
17.5162	11.2512	3.66177
17.3669	11.1474	3.61259
17.2171	10.9846	3.5755
17.0633	10.8939	3.52482
16.8977	10.7416	3.47166
16.7256	10.638	3.4312
16.507	10.5971	3.38608
16.4777	10.4333	3.3412
16.4436	10.3237	3.30828
16.1077	10.2382	3.26689
16.2058	10.1545	3.21759
15.9645	10.0693	3.17767
15.7655	9.96223	3.14392
15.6402	9.92213	3.10194
15.5717	9.75219	3.05834
15.4349	9.71689	3.01737
15.2651	9.57923	2.98436
15.0512	9.53239	2.9623
14.892	9.41118	2.91212
14.7632	9.31151	2.88029
14.6137	9.24227	2.85053
14.4949	9.10689	2.79647
14.3931	9.01866	2.77602
14.2662	8.96673	2.73499
14.3039	8.93412	2.70085
13.9821	8.77184	2.68346
13.8625	8.73166	2.65466
13.7458	8.62843	2.60816
13.6853	8.53936	2.574
13.5965	8.44648	2.54888
13.4852	8.38465	2.5185
13.3711	8.31807	2.47918
13.2728	8.2189	2.45927
13.1624	8.22365	2.42742
13.0423	8.09847	2.40284
12.9488	8.03522	2.37405
12.9261	7.94668	2.34435
12.7213	7.88188	2.32489
12.7004	7.81941	2.29402
12.6134	7.7399	2.27008
12.4333	7.70509	2.24437
12.4335	7.60195	2.22116
12.3398	7.55069	2.19271
12.2215	7.51022	2.16492
11.9906	7.41782	2.14337
11.9996	7.38681	2.11787
11.964	7.31379	2.09718
11.8256	7.20522	2.07182
11.7649	7.1628	2.05452
11.6683	7.1156	2.02197
11.6273	7.05255	1.99925
11.4574	6.99195	1.97609
11.3133	6.9736	1.95735
11.2322	6.89867	1.93722
11.1853	6.84335	1.92069
11.03	6.78982	1.90479
10.9763	6.69596	1.88485
10.8987	6.65238	1.86349
10.8084	6.61804	1.84636
10.7234	6.54744	1.82178
10.6526	6.51362	1.80497
10.6114	6.42638	1.78448
10.4814	6.33383	1.76565
10.3939	6.31371	1.7532
10.3484	6.26211	1.73317
10.2308	6.24696	1.71615
10.2762	6.1914	1.70298
10.1845	6.15523	1.6841
10.1038	6.08044	1.66542
10.0077	6.04984	1.65058
9.98103	5.96158	1.62648
9.84485	5.91025	1.61156
9.78612	5.86068	1.59596
9.71175	5.85369	1.58003
9.66157	5.83015	1.56179
9.55643	5.7345	1.54628
9.50462	5.71195	1.53301
9.43067	5.67138	1.52256
9.36519	5.60463	1.50519
9.27256	5.58076	1.49422
9.20872	5.52405	1.47716
9.13515	5.50759	1.46663
9.07153	5.45568	1.44858
9.00821	5.44613	1.43527
8.94751	5.34599	1.42187
8.89672	5.34432	1.40831
8.8533	5.30462	1.39302
8.79984	5.28497	1.38526
8.73509	5.21978	1.36563
8.74076	5.19784	1.35657
8.71302	5.15231	1.34447
8.56658	5.0499	1.33117
8.51111	5.06239	1.31778
8.45934	5.04231	1.30336
