6.70501	168851
6.01099	84382.1
5.59266	56214.4
5.31798	42125.6
5.08374	33686.3
4.91064	28045.6
4.75208	24022
4.62584	21004.3
4.51356	18665.7
4.40568	16787.8
4.30408	15251.2
4.22503	13972.4
4.138	12893.7
4.06817	11960.7
3.98491	11157.9
3.92052	10453.8
3.88129	9834.69
3.83445	9283.09
3.7694	8790.29
3.73675	8344.42
3.66407	7944.1
3.63521	7578.49
3.56234	7245.03
3.53021	6941.85
3.49416	6656.57
3.44772	6399.45
3.41914	6160.2
3.38141	5937.83
3.34637	5727.5
3.3004	5535.75
3.2658	5355.36
3.25456	5183.94
3.23207	5025.22
3.17829	4875.36
3.18297	4732.7
3.12936	4601.43
3.08993	4473.66
3.07554	4354.77
3.05619	4237.33
3.01637	4132.22
2.98683	4028
2.98551	3932
2.95099	3837.39
2.93297	3747.34
2.90739	3661.96
2.89614	3583.83
2.86227	3505.65
2.8441	3432.28
2.82186	3360.03
2.80724	3292.04
2.79547	3225.61
2.76424	3159.89
2.74078	3101.35
2.72561	3041.02
2.70657	2986.23
2.69186	2932.19
2.67212	2877.56
2.6739	2828.15
2.64198	2777.57
2.61978	2729.92
2.61913	2685.92
2.57794	2640.41
2.55824	2596.96
2.54083	2556.05
2.52584	2516.23
2.52986	2476.9
2.51775	2439.85
2.49634	2403.03
2.48683	2367.56
2.4972	2332.16
2.46596	2298.33
2.43638	2267.03
2.41381	2234.19
2.41413	2204.06
2.40416	2173.83
2.3758	2144.13
2.37354	2115.8
2.3682	2088.03
2.3696	2060.19
2.34638	2034.47
2.33815	2008.36
2.31804	1983.52
2.30917	1958.92
2.3072	1934.87
2.2714	1911.71
2.26621	1888.83
2.24208	1866.21
2.25425	1843.99
2.24362	1822.71
2.1972	1801.9
2.2285	1781.85
2.21162	1761.94
2.19875	1742.55
2.17928	1722.61
2.18601	1704.69
2.16984	1686.9
2.16149	1668.79
2.15462	1651.39
2.1288	1634.3
